,index,servicerequestnum,code,codeDescription,Neighborhood,address,city,state,zip,methodReceived,createdDate,dueDate,statusDate,status,activity,outcome,updatedDate,codedAddress,latitude,longitude,year,quarter,week,dayofyear
58694,470764,15-00050249,HLTHRATR,SW-Rat Rubout,ROSEMONT HOMEOWNERS/TENANTS,2524  EDMONDSON AVE ,BALTIMORE,MD,21223.0,Phone,2015-01-22 21:25:46,02/05/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2524 Edmondson Ave, Baltimore, MD 21223, United States',)",39.294960022,-76.6571578979,2015,1,4,22
58637,470707,15-00050369,HLTHRATR,SW-Rat Rubout,EAST BALTIMORE MIDWAY,2023  CECIL AVE ,BALTIMORE,MD,21218.0,Phone,2015-01-22 22:04:50,02/05/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2023 Cecil Ave, Baltimore, MD 21218, United States',)",39.3135452271,-76.6049194336,2015,1,4,22
58252,470322,15-00051002,HLTHRATR,SW-Rat Rubout,WALBROOK,3217  GWYNNS FALLS PKWY ,BALTIMORE,MD,21216.0,Phone,2015-01-23 01:30:31,02/06/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'3217 Gwynns Falls Pkwy, Baltimore, MD 21216, United States',)",39.3139457703,-76.6720275879,2015,1,4,23
58192,470262,15-00051080,HLTHRATR,SW-Rat Rubout,RESERVOIR HILL,2218  EUTAW PL ,BALTIMORE,MD,21217.0,Internet,2015-01-23 02:25:34,02/06/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2218 Eutaw Pl, Baltimore, MD 21217, United States',)",39.310928344699995,-76.6349334717,2015,1,4,23
56607,468677,15-00051389,HLTHRATR,SW-Rat Rubout,NEW SOUTHWEST/MOUNT CLARE,1612  COLE ST ,BALTIMORE,MD,21223.0,Internet,2015-01-23 14:38:13,02/06/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'1612 Cole St, Baltimore, MD 21223, United States',)",39.2823677063,-76.6426315308,2015,1,4,23
56564,468634,15-00051474,HLTHRATR,SW-Rat Rubout,VIOLETVILLE,3561  WILKENS AVE ,BALTIMORE,MD,21229.0,Phone,2015-01-23 16:00:05,02/06/2015,01/27/2015,CLOSED,Dispatch Investigator,Area Baited,01/27/2015,"(u'3561 Wilkens Ave, Baltimore, MD 21229, United States',)",39.2711296082,-76.6786575317,2015,1,4,23
56339,468409,15-00052227,HLTHRATR,SW-Rat Rubout,EDNOR GARDENS-LAKESIDE,3620  KIMBLE RD ,BALTIMORE,MD,21218.0,Phone,2015-01-23 17:50:17,02/06/2015,01/27/2015,CLOSED,Dispatch Investigator,Area Baited,01/27/2015,"(u'3620 Kimble Rd, Baltimore, MD 21218, United States',)",39.332645416300004,-76.6013259888,2015,1,4,23
56304,468374,15-00052287,HLTHRATR,SW-Rat Rubout,MONDAWMIN,2214 N MONROE ST ,BALTIMORE,MD,21217.0,Phone,2015-01-23 18:02:23,02/06/2015,01/27/2015,CLOSED,Dispatch Investigator,Area Baited,01/27/2015,"(u'2214 N Monroe St, Baltimore, MD 21217, United States',)",39.3135032654,-76.6486663818,2015,1,4,23
56120,468190,15-00052641,HLTHRATR,SW-Rat Rubout,PERRING LOCH,1655  WOODBOURNE AVE ,BALTIMORE,MD,21239.0,Phone,2015-01-23 19:05:45,02/06/2015,01/28/2015,CLOSED,Dispatch Investigator,Area Baited,01/28/2015,"(u'1655 Woodbourne Ave, Baltimore, MD 21239, United States',)",39.3553009033,-76.5841217041,2015,1,4,23
58003,470073,15-00117457,RATRUBPR,SW-Rat Rubout - Proactive,PENROSE/FAYETTE STREET OUTREACH,243 N PAYSON ST ,BALTIMORE,MD,21223.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'243 N Payson St, Baltimore, MD 21223, United States',)",39.291606903099996,-76.6486129761,2015,1,4,23
58004,470074,15-00117467,RATRUBPR,SW-Rat Rubout - Proactive,FRANKLIN SQUARE,252 N FULTON AVE ,BALTIMORE,MD,21223.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'252 N Fulton Ave, Baltimore, MD 21223, United States',)",39.291938781700004,-76.6456756592,2015,1,4,23
58005,470075,15-00117476,RATRUBPR,SW-Rat Rubout - Proactive,FRANKLIN SQUARE,250 N FULTON AVE ,BALTIMORE,MD,21223.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'250 N Fulton Ave, Baltimore, MD 21223, United States',)",39.2919006348,-76.6456756592,2015,1,4,23
58036,470106,15-00137751,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2703  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2703 Presbury St, Baltimore, MD 21216, United States',)",39.3071937561,-76.6611099243,2015,1,4,23
58037,470107,15-00137800,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2729  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2729 Presbury St, Baltimore, MD 21216, United States',)",39.307167053200004,-76.6617355347,2015,1,4,23
58038,470108,15-00137811,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2723  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2723 Presbury St, Baltimore, MD 21216, United States',)",39.3071746826,-76.6615905762,2015,1,4,23
58039,470109,15-00137816,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2739  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2739 Presbury St, Baltimore, MD 21216, United States',)",39.3071594238,-76.6619796753,2015,1,4,23
58040,470110,15-00137819,RATRUBPR,SW-Rat Rubout - Proactive,HARLEM PARK,511 N GILMOR ST ,BALTIMORE,MD,21223.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Active Rodent Sign,02/23/2015,"(u'511 N Gilmor St, Baltimore, MD 21223, United States',)",39.2943611145,-76.6424102783,2015,1,4,23
58041,470111,15-00137870,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2725  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Active Rodent Sign,02/23/2015,"(u'2725 Presbury St, Baltimore, MD 21216, United States',)",39.3071708679,-76.6616439819,2015,1,4,23
57925,469995,15-00057314,RATRUBPR,SW-Rat Rubout - Proactive,ROSEMONT HOMEOWNERS/TENANTS,2538  FRANKLIN ST ,BALTIMORE,MD,21223.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/26/2015,"(u'2538 W Franklin St, Baltimore, MD 21223, United States',)",39.293582916300004,-76.65756988529999,2015,1,4,23
57927,469997,15-00057353,RATRUBPR,SW-Rat Rubout - Proactive,ROSEMONT HOMEOWNERS/TENANTS,2520  EDMONDSON AVE ,BALTIMORE,MD,21223.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2520 Edmondson Ave, Baltimore, MD 21223, United States',)",39.2949638367,-76.657043457,2015,1,4,23
57928,469998,15-00057389,RATRUBPR,SW-Rat Rubout - Proactive,MONDAWMIN,1936  WALBROOK AVE ,BALTIMORE,MD,21217.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'1936 Walbrook Ave, Baltimore, MD 21217, United States',)",39.3110237122,-76.6492919922,2015,1,4,23
57929,469999,15-00057416,RATRUBPR,SW-Rat Rubout - Proactive,PENROSE/FAYETTE STREET OUTREACH,2515 W FRANKLIN ST ,BALTIMORE,MD,21223.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2515 W Franklin St, Baltimore, MD 21223, United States',)",39.2931213379,-76.6570892334,2015,1,4,23
57930,470000,15-00057427,RATRUBPR,SW-Rat Rubout - Proactive,ROSEMONT HOMEOWNERS/TENANTS,2537  LAURETTA AVE ,BALTIMORE,MD,21223.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2537 Lauretta Ave, Baltimore, MD 21223, United States',)",39.2938156128,-76.6573562622,2015,1,4,23
57931,470001,15-00057437,RATRUBPR,SW-Rat Rubout - Proactive,ROSEMONT HOMEOWNERS/TENANTS,2531  LAURETTA AVE ,BALTIMORE,MD,21223.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2531 Lauretta Ave, Baltimore, MD 21223, United States',)",39.2938232422,-76.6571960449,2015,1,4,23
57932,470002,15-00074606,RATRUBPR,SW-Rat Rubout - Proactive,SANDTOWN-WINCHESTER,1741  MCKEAN AVE ,BALTIMORE,MD,21217.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'1741 McKean Ave, Baltimore, MD 21217, United States',)",39.3086853027,-76.6470031738,2015,1,4,23
57933,470003,15-00074616,RATRUBPR,SW-Rat Rubout - Proactive,SANDTOWN-WINCHESTER,1726 N FULTON AVE ,BALTIMORE,MD,21217.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'1726 N Fulton Ave, Baltimore, MD 21217, United States',)",39.3085289001,-76.6466674805,2015,1,4,23
57934,470004,15-00074618,RATRUBPR,SW-Rat Rubout - Proactive,EASTERWOOD,1714  APPLETON ST ,BALTIMORE,MD,21217.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'1714 Appleton St, Baltimore, MD 21217, United States',)",39.3081932068,-76.6491928101,2015,1,4,23
57642,469712,15-00117446,RATRUBPR,SW-Rat Rubout - Proactive,PENROSE/FAYETTE STREET OUTREACH,249 N PAYSON ST ,BALTIMORE,MD,21223.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'249 N Payson St, Baltimore, MD 21223, United States',)",39.291721344,-76.6486206055,2015,1,4,23
57643,469713,15-00117479,RATRUBPR,SW-Rat Rubout - Proactive,FRANKLIN SQUARE,248 N FULTON AVE ,BALTIMORE,MD,21223.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'248 N Fulton Ave, Baltimore, MD 21223, United States',)",39.2918586731,-76.64566802979999,2015,1,4,23
57680,469750,15-00137746,RATRUBPR,SW-Rat Rubout - Proactive,HARLEM PARK,513 N STRICKER ST ,BALTIMORE,MD,21223.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,,0.0,0.0,2015,1,4,23
57681,469751,15-00137751,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2703  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2703 Presbury St, Baltimore, MD 21216, United States',)",39.3071937561,-76.6611099243,2015,1,4,23
57682,469752,15-00137758,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2721  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,02/23/2015,"(u'2721 Presbury St, Baltimore, MD 21216, United States',)",39.3071746826,-76.6615447998,2015,1,4,23
57683,469753,15-00137780,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2733  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2733 Presbury St, Baltimore, MD 21216, United States',)",39.307167053200004,-76.6618347168,2015,1,4,23
57684,469754,15-00137789,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2737  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2737 Presbury St, Baltimore, MD 21216, United States',)",39.3071594238,-76.6619262695,2015,1,4,23
57685,469755,15-00137802,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2731  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2731 Presbury St, Baltimore, MD 21216, United States',)",39.307167053200004,-76.6617889404,2015,1,4,23
57686,469756,15-00137811,RATRUBPR,SW-Rat Rubout - Proactive,COPPIN HEIGHTS/ASH-CO-EAST,2723  PRESBURY ST ,BALTIMORE,MD,21216.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'2723 Presbury St, Baltimore, MD 21216, United States',)",39.3071746826,-76.6615905762,2015,1,4,23
57762,469832,15-00056653,RATRUBPR,SW-Rat Rubout - Proactive,BRIDGEVIEW/GREENLAWN,1006 N BENTALOU ST ,BALTIMORE,MD,21216.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'1006 N Bentalou St, Baltimore, MD 21216, United States',)",39.2998466492,-76.653793335,2015,1,4,23
57764,469834,15-00056675,RATRUBPR,SW-Rat Rubout - Proactive,BRIDGEVIEW/GREENLAWN,1024 N BENTALOU ST ,BALTIMORE,MD,21216.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'1024 N Bentalou St, Baltimore, MD 21216, United States',)",39.3002243042,-76.65381622310001,2015,1,4,23
57766,469836,15-00056682,RATRUBPR,SW-Rat Rubout - Proactive,SANDTOWN-WINCHESTER,934 N GILMOR ST ,BALTIMORE,MD,21217.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'934 N Gilmor St, Baltimore, MD 21217, United States',)",39.299697875999996,-76.6432495117,2015,1,4,23
57926,469996,15-00057341,RATRUBPR,SW-Rat Rubout - Proactive,ROSEMONT HOMEOWNERS/TENANTS,2537  EDMONDSON AVE ,BALTIMORE,MD,21223.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/26/2015,"(u'2537 Edmondson Ave, Baltimore, MD 21223, United States',)",39.2944145203,-76.6574707031,2015,1,4,23
56700,468770,15-00056645,RATRUBPR,SW-Rat Rubout - Proactive,SANDTOWN-WINCHESTER,937 N MOUNT ST ,BALTIMORE,MD,21217.0,Mass Entry,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'937 N Mount St, Baltimore, MD 21217, United States',)",39.2995948792,-76.6441497803,2015,1,4,23
56701,468771,15-00056653,RATRUBPR,SW-Rat Rubout - Proactive,BRIDGEVIEW/GREENLAWN,1006 N BENTALOU ST ,BALTIMORE,MD,21216.0,Mass Closed,2015-01-23 08:00:00,01/28/2015,01/23/2015,CLOSED,Dispatch Investigator,Area Baited,01/23/2015,"(u'1006 N Bentalou St, Baltimore, MD 21216, United States',)",39.2998466492,-76.653793335,2015,1,4,23
